tweet_id,replies
1.03928892993193E+018,[]
1.03928907851102E+018,[]
1.03928916421722E+018,[]
1.03928924885842E+018,[]
1.03928925819494E+018,[]
1.03928942782086E+018,[]
1.03928943019497E+018,[]
1.03928944365453E+018,[]
1.03928946967595E+018,[]
1.03928949546672E+018,[]
1.03928953173471E+018,[]
1.03928957500735E+018,[]
1.03928966771008E+018,[]
1.03928967744499E+018,[]
1.03928971225353E+018,[]
1.03928971889316E+018,[]
1.03928976277817E+018,[]
1.03928977400211E+018,[]
1.03928978166513E+018,[]
1.03928978584265E+018,[]
1.03928991442321E+018,[]
1.03928994988181E+018,[]
1.03928997394438E+018,[]
1.03929002597911E+018,[]
1.03929006030949E+018,[]
1.0392900671588E+018,[]
1.03929008114681E+018,[]
1.03929021474372E+018,[]
1.03929022331682E+018,[]
1.03929034402056E+018,[]
1.03929052092365E+018,[]
1.03929062854542E+018,[]
1.03929086057014E+018,[]
1.03929086551935E+018,[]
1.03929120290078E+018,[]
1.0392914507464E+018,[]
1.03929157552262E+018,[]
1.03929160049127E+018,[]
1.03929178216344E+018,[]
1.03929185591196E+018,[]
1.03929207837371E+018,[]
1.03929215876588E+018,[]
1.03929221157641E+018,[]
1.03929239635646E+018,[]
1.03929249465419E+018,[]
1.03929252786044E+018,[]
1.03929264476815E+018,[]
1.03929268400179E+018,[]
1.03929270941916E+018,[]
1.03929325023267E+018,[]
1.03929333134654E+018,[]
1.03929337918258E+018,[]
1.03929359940431E+018,[]
1.03929377517083E+018,[]
1.03929382810311E+018,[]
1.03929398431559E+018,[]
1.03929408329298E+018,[]
1.03929408361151E+018,[]
1.03929478591012E+018,"[1039371367085428736, 1039436498486087680]"
1.03929500014679E+018,[]
1.03929505589749E+018,[]
1.03929507914225E+018,[]
